"value","count","source"
"Panache Haute Couture",1,"freetext"
"Panache",1,"freetext"
"Pallavi Goyal",1,"freetext"
"palki",1,"freetext"
"pakitan",1,"freetext"
"Pakistani/Indian",1,"freetext"
"Pakistani PFDC",1,"freetext"
"pakistani kurtha",1,"freetext"
"pakistani hand embrodery",1,"freetext"
"Pakistani festival dresses",1,"freetext"
"Pakistani elehe",1,"freetext"
"Pakistani designer hussain rehar",1,"freetext"
"Pakistani designer bonanza",1,"freetext"
"Pakistani custom made",1,"freetext"
"Pakistani branded dress",1,"freetext"
"Pakistani brand limelight",1,"freetext"
"Pakistani brand",1,"freetext"
"Pakistani boutique",1,"freetext"
"Pagli - Mumbai",1,"freetext"
"pachi kundan",1,"freetext"
"Paaneri Mumbai",1,"freetext"
"own production",1,"freetext"
"Own designed lengha",1,"freetext"
"Own designed",1,"freetext"
"own design",1,"freetext"
"own deaign",1,"freetext"
"own brand",1,"freetext"
"Origami",1,"freetext"
"Organza saree with fall bidding done.
Matching peticoat 
Stitched blouse size 8 to 10",1,"freetext"
"Organza material 
Easy to drape",1,"freetext"
"Oodni boutique",1,"freetext"
"Only worn once.",1,"freetext"
"Online",1,"freetext"
"One minute saree US",1,"freetext"
"one knot one - Medium",1,"freetext"
"one knot one",1,"freetext"
"Omega Bridals",1,"freetext"
"Ombre designs",1,"freetext"
"off-brand",1,"freetext"
"off brand",1,"freetext"
"occasion wear/ medium",1,"freetext"
"NS collection",1,"freetext"
"Not sure, might be custom made",1,"freetext"
"Not sure of name. Purchased in India for ceremony in 2023. Worn once . Dry cleaned",1,"freetext"
"not sure forgotten",1,"freetext"
"Not sure but think its Dharmavram  brand South Indian  sari next to Kanjeevaram in fabric style.",1,"freetext"
"Not specified designer",1,"freetext"
"not mentioning",1,"freetext"
"Not known. Pure cotton sari",1,"freetext"
"Not from a specific designer",1,"freetext"
"Not designer purchased from Monga’s UK",1,"freetext"
"not available",1,"freetext"
"Not any designer blouses. Vintage. Old fashion regular wear but matches lot of saris Plain colors",1,"freetext"
"Not a designer suit",1,"freetext"
"Not a designer outfit",1,"freetext"
"Not a designer made",1,"freetext"
"Not a big named designer",1,"freetext"
"Not",1,"freetext"
"normally",1,"freetext"
"normal",1,"freetext"
"Noorie",1,"freetext"
"Noor Collection",1,"freetext"
"noor",1,"freetext"
"None.",1,"freetext"
"None however design is inspired from a pakistani designer",1,"freetext"
"non-hand made",1,"freetext"
"non branded",1,"freetext"
"Nomi",1,"freetext"
"Noman n Bhaiya",1,"freetext"
"NOMAN AND BHAIYA from Pakistan",1,"freetext"
"No- brand",1,"freetext"
"No, specific designer. Selling for $80 each.",1,"freetext"
"No specific Designer",1,"freetext"
"No name brand lol",1,"freetext"
"No idea, was sent to me by my parents in India.  Amount is in rupees",1,"freetext"
"No idea removed the tag unfortunately",1,"freetext"
"No designer, bought from a shop in Birmingham for £1500",1,"freetext"
"No but Boutique work",1,"freetext"
"no brand, Karandi fabric",1,"freetext"
"no body",1,"freetext"
"Nn",1,"freetext"
"Nishat",1,"freetext"
"Nishant Creation from Mumbai",1,"freetext"
"Nip",1,"freetext"
"Nine West",1,"freetext"
"Nin Designer",1,"freetext"
"Nidhika Shekhar",1,"freetext"
"NICOLI",1,"freetext"
"Nickie Nina",1,"freetext"
"Nice dress",1,"freetext"
"New without tag",1,"freetext"
"New made in India Wedding Grooms with Pajama  plain  pant",1,"freetext"
"New free size sari skirt can fit from small to large size.",1,"freetext"
"Never before will fit slim girl/woman",1,"freetext"
"Net lehenga. I have never worn due to sizing issue.",1,"freetext"
"Net embroidery blouse pink",1,"freetext"
"net 
net
chiffon",1,"freetext"
"Nepmart",1,"freetext"
"Nepali botique",1,"freetext"
"Nepali",1,"freetext"
"Nepalese designer oodni boutique",1,"freetext"
"Neerus",1,"freetext"
"Needle & Thread",1,"freetext"
"Nazo Couture",1,"freetext"
"Nazjunaid",1,"freetext"
"Navkar ethnic",1,"freetext"
"Natasha Kamal",1,"freetext"
"Narmin lakhani",1,"freetext"
"Narayan",1,"freetext"
"Nameera by Farooq",1,"freetext"
"Namah by Parul Mongia, made in Delhi",1,"freetext"
"nakoush",1,"freetext"
"nakoosh",1,"freetext"
"Nakkijehan Collection.",1,"freetext"
"Nach , aanchals",1,"freetext"
"N/A - Unknown",1,"freetext"
"MYYSIE",1,"freetext"
"Mysore Udyog",1,"freetext"
"Myras",1,"freetext"
"Myra",1,"freetext"
"myntra",1,"freetext"
"Mushq PK",1,"freetext"
"Musferah Saad",1,"freetext"
"Mumbai based",1,"freetext"
"Mukhtar",1,"freetext"
"Mugdha studio",1,"freetext"
"Mugdha",1,"freetext"
"Mrunalini Rao",1,"freetext"
"Mr & Mrs",1,"freetext"
"Motifz",1,"freetext"
"Moolchand Sons and Paaneri Exim",1,"freetext"
"Moolchand Sons",1,"freetext"
"Mongas shop",1,"freetext"
"MONGAS LENGHA",1,"freetext"
"Mongas England",1,"freetext"
"Monga's",1,"freetext"
"Mona's by Ally's",1,"freetext"
"Mona lisa pearl necklace set with tikka
Light weight
Flaunting beauty 
Beautiful colours available",1,"freetext"
"Mona by Ally's",1,"freetext"
"Moms saree",1,"freetext"
"Moj Official",1,"freetext"
"Mohsins",1,"freetext"
"Mohsin Sons Pakistan",1,"freetext"
"MOHSIN Naveee Ranjha",1,"freetext"
"Mohsin Naveed Ranga",1,"freetext"
"Mohsin Ali ranjha (Replica)",1,"freetext"
"Mohey Manyavaar",1,"freetext"
"Mohey",1,"freetext"
"Moha",1,"freetext"
"Moh-Manthan",1,"freetext"
"moh creations",1,"freetext"
"MMG Garments",1,"freetext"
"Misl",1,"freetext"
"Misha Lakhani Pakistan",1,"freetext"
"Misch B Couture",1,"freetext"
"Mirraw : Indian Brand",1,"freetext"
"Mirraw",1,"freetext"
"Mirpur Benaroshi polli",1,"freetext"
"Mirana",1,"freetext"
"Mira",1,"freetext"
"Minny Basra",1,"freetext"
"Minni minor",1,"freetext"
"Mini Minors",1,"freetext"
"Mina hassan inspired",1,"freetext"
"Mimco",1,"freetext"
"Mika couture",1,"freetext"
"Meraki Designer",1,"freetext"
"Meraj",1,"freetext"
"Mellisa",1,"freetext"
"Melbourne boutique",1,"freetext"
"Melbourne",1,"freetext"
"meher by Shrimati",1,"freetext"
"Mehar punjab design",1,"freetext"
"Mehak Murpana",1,"freetext"
"Meera By Poornima Sharma",1,"freetext"
"Meenz Bazaar",1,"freetext"
"Meenu Kumar Collections",1,"freetext"
"Meena Vazar, Delhi",1,"freetext"
"Meena Gurnam",1,"freetext"
"Meena Bazaar - Chandigarh Sec 17",1,"freetext"
"medium size",1,"freetext"
"mebaz",1,"freetext"
"Me only",1,"freetext"
"Mayum N Maria",1,"freetext"
"mayum Hussain",1,"freetext"
"Mayas Desi Boutique",1,"freetext"
"Maxima mahajan
Gaurav Gupta
Others",1,"freetext"
"Maxi dress custom made to measure.",1,"freetext"
"Max Fashion",1,"freetext"
"Max and shezone",1,"freetext"
"Matsya",1,"freetext"
"Material unknown .",1,"freetext"
"Masayaan Angels",1,"freetext"
"Masal",1,"freetext"
"Maryum & maria",1,"freetext"
"Maryam hussain collection",1,"freetext"
"maryam and maria",1,"freetext"
"Marwar",1,"freetext"
"Marshall Marshala",1,"freetext"
"Marshall Marsala",1,"freetext"
"Mariya Atif",1,"freetext"
"Marium n maria",1,"freetext"
"Maria’s B",1,"freetext"
"Maria.b",1,"freetext"
"Maria b, Asim jofa, Sana safinaz etc",1,"freetext"
"Maria b pakistani designer",1,"freetext"
"Maria B Pakistan",1,"freetext"
"Maria B medium size",1,"freetext"
"Maria b inspired",1,"freetext"
"Maria B , Sana safinaz",1,"freetext"
"Maria B (Pakistani)",1,"freetext"
"Maria B (Pakistan)",1,"freetext"
"manyawar",1,"freetext"
"Manyavar Mohey",1,"freetext"
"Manyavar Mohay",1,"freetext"
"Manyavar & Mohey",1,"freetext"
"Manyavaar",1,"freetext"
"Many different ones",1,"freetext"
"Mannat",1,"freetext"
"Manish Rai",1,"freetext"
"Manish Malhotra Dupe",1,"freetext"
"Mani Bhatia",1,"freetext"
"Manbhaawan by Darshika",1,"freetext"
"Malhaar",1,"freetext"
"Maira Fashion",1,"freetext"
"Mahum Asad",1,"freetext"
"Mahima Mahajan. Sells on her own site and also Pernia’s pop up shop and Aza stores in India",1,"freetext"
"Maher by shrimati",1,"freetext"
"Maharani collection",1,"freetext"
"Maharaja Fashions",1,"freetext"
"made to measure stitched up",1,"freetext"
"made to measure",1,"freetext"
"Made on order design",1,"freetext"
"Made on order by T.A collections",1,"freetext"
"made in pakistan, hand embrodery",1,"freetext"
"Made in India Store",1,"freetext"
"Made from boutique",1,"freetext"
"Made by different designers",1,"freetext"
"Mac Duggal",1,"freetext"
"Maayera Jaipur",1,"freetext"
"M&M",1,"freetext"
"M boutique",1,"freetext"
"Luxury lifestyle",1,"freetext"
"Lux fashion surrey",1,"freetext"
"lubna saboor",1,"freetext"
"Louis Vuitton",1,"freetext"
"Louis Philippe",1,"freetext"
"Loose fit yellow cotton lawn sharara with floral print",1,"freetext"
"Look’s Boutique - Ahmedabad",1,"freetext"
"Locally sourced from a boutique in sydney",1,"freetext"
"locally bought in India",1,"freetext"
"Local store purchase",1,"freetext"
"Local shops in india from Baroda city",1,"freetext"
"local Perth markets",1,"freetext"
"Local pakistani brand",1,"freetext"
"Local market",1,"freetext"
"Local Indian store",1,"freetext"
"Local Indian Designer",1,"freetext"
"Local from Ahmedabad",1,"freetext"
"Local designer Nylas",1,"freetext"
"local designer near ncr delhi",1,"freetext"
"local designer in jalandhar",1,"freetext"
"local design",1,"freetext"
"Local boutique in India",1,"freetext"
"Liz Paul",1,"freetext"
"Little Muffets",1,"freetext"
"Limelight brand",1,"freetext"
"Lilac lehenga saree in a M the skirt is a bit big but has string on the side to adjust the skirt.",1,"freetext"
"like deigner",1,"freetext"
"Like brand new",1,"freetext"
"Light green salwar",1,"freetext"
"Libas",1,"freetext"
"Libaas-E-Khaas",1,"freetext"
"Libaas",1,"freetext"
"let’s",1,"freetext"
"Lengha is inspired by designs of ritu bal",1,"freetext"
"leisure club",1,"freetext"
"Lehga belt and zip needs to be fixed as I had to adjust to my size",1,"freetext"
"Lehenga is inspired from Jayanti reddy Collection",1,"freetext"
"Lehenga choli",1,"freetext"
"lehanga",1,"freetext"
"Leena from Delhi. She designs and tailors clothing for men and women. She does this on recommendation only. You tell her what you want. Pink was the theme for the wedding. Everyone, both men and women had to wear pink/ shades of it n",1,"freetext"
"LAZZLY",1,"freetext"
"Lawn cotton salwer xl",1,"freetext"
"Lavish bridals Canada",1,"freetext"
"lavish",1,"freetext"
"Laughing Llama",1,"freetext"
"Lasoon",1,"freetext"
"LASHKARAA Lehnga",1,"freetext"
"Lashkaara",1,"freetext"
"Larger kundan jumka peach $25
Small jumka peach $5
Long cocktail earrings $10",1,"freetext"
"Lamis & Hanna",1,"freetext"
"Laleen",1,"freetext"
"Lakshita",1,"freetext"
"lady club (from pakistan)",1,"freetext"
"Label Shaurya Sanadhya",1,"freetext"
"Label Sanya Gulati",1,"freetext"
"Label Prerna Mehra",1,"freetext"
"Label Pooja Gupta",1,"freetext"
"Label Nimbus",1,"freetext"
"Label Kanupriya",1,"freetext"
"Label BAANI (customized FROM BOUTIQUE)",1,"freetext"
"Laam Mehr design studio",1,"freetext"
"La Pink",1,"freetext"
"La Glits",1,"freetext"
"Kyles",1,"freetext"
"Kurtha set women",1,"freetext"
"Kowshki couture",1,"freetext"
"Korea",1,"freetext"
"Klimt by Feroze Gandhi",1,"freetext"
"kisha collection",1,"freetext"
"kirtismarketplace",1,"freetext"
"Kiran's",1,"freetext"
"Kiran Lally",1,"freetext"
"Kids Pakistani designer",1,"freetext"
"Khushboo's by Chand",1,"freetext"
"khushboo by chand",1,"freetext"
"khuda baksh",1,"freetext"
"Khan Nawab",1,"freetext"
"khadija batool",1,"freetext"
"Khaddi, gul Ahmed, ethinics generations etc.",1,"freetext"
"Khaddi, ethinics etc.",1,"freetext"
"Khaddi khas",1,"freetext"
"Khaddi khad",1,"freetext"
"khaddi",1,"freetext"
"Khaadi Kurta and dupatta.",1,"freetext"
"Khaadi khaas Pakistan",1,"freetext"
"Khaadi Khaas",1,"freetext"
"Kay",1,"freetext"
"Kavya",1,"freetext"
"Kaushalya",1,"freetext"
"Kaushalaya",1,"freetext"
"KAUR COLLECTION, BLACKTOWN",1,"freetext"
"kasmiri Aari work",1,"freetext"
"Kashmir cloth",1,"freetext"
"kashee’s",1,"freetext"
"Kashees Bridal design",1,"freetext"
"karma creation",1,"freetext"
"Karma",1,"freetext"
"Karisma wedding mall",1,"freetext"
"karishma",1,"freetext"
"Kanyvar",1,"freetext"
"kanyavar",1,"freetext"
"Kanjivaram",1,"freetext"
"Kanch i sari . Pure silk pure gold zari  with gold zari border",1,"freetext"
"Kanak Designs",1,"freetext"
"Kamal Bhai Chandni Chawk:  (@kamalbhaisareesangam)",1,"freetext"
"Kamakshi India",1,"freetext"
"Kalki Fashions",1,"freetext"
"Kalki brand",1,"freetext"
"Kalista",1,"freetext"
"kalamandhir",1,"freetext"
"Kalakunj",1,"freetext"
"Kala Mandir",1,"freetext"
"Kajal couture (surat)",1,"freetext"
"kaalki",1,"freetext"
"K K Garment",1,"freetext"
"k",1,"freetext"
"junaid shamshed",1,"freetext"
"Junaid Jamshed (teen)",1,"freetext"
"Junaid Jamshaid",1,"freetext"
"Junaid jamshad",1,"freetext"
"Jumkiies and necklace sets",1,"freetext"
"Jumana Potia",1,"freetext"
"JSK Exclusive",1,"freetext"
"Jolampara",1,"freetext"
"john",1,"freetext"
"Jiya by Veer",1,"freetext"
"Jinaam | Mumbai",1,"freetext"
"Jinaam",1,"freetext"
"Jhalak",1,"freetext"
"Jewelrynart",1,"freetext"
"Jeem",1,"freetext"
"JDot",1,"freetext"
"Jdjdn",1,"freetext"
"Jazz Store",1,"freetext"
"Jazmine dress 
Brand new",1,"freetext"
"Jayanti Reddy Red Lengha  with blouse",1,"freetext"
"Jayanti Reddy",1,"freetext"
"Jayalakshmi Silks",1,"freetext"
"Jass punia boutique",1,"freetext"
"Jashn",1,"freetext"
"jaipuri",1,"freetext"
"Jaipur",1,"freetext"
"Jade by Monika & Karishma",1,"freetext"
"J. Pakistani designer",1,"freetext"
"It’s not a renowned designer article but from an expensive showroom in India",1,"freetext"
"It’s not a designer brand.",1,"freetext"
"It’s normal saree",1,"freetext"
"It’s from local store in Jalandhar where we shop often and they carry all latest designs.",1,"freetext"
"It’s a designer kurta set from Manyavar",1,"freetext"
"It’s a custom made suit",1,"freetext"
"Its off white color with beautiful pearl top or blouse
Net duppata and gorgeous lehnga outfit",1,"freetext"
"Its Indian designer",1,"freetext"
"Its from Rhythm creation Brampton",1,"freetext"
"its customised garara in new condition . wore only for 3/4 hrs. chiffon shirt with net dupatta",1,"freetext"
"Its a saree with no brand as such",1,"freetext"
"Its a heavy formal wear Gown.",1,"freetext"
"It's beautiful sharra suit eiyh dupatta",1,"freetext"
"It's a beautiful anarkali , can be worn as a dress too",1,"freetext"
"It was made in Jullandhar .. orbital packaging",1,"freetext"
"it was from a boutique in India",1,"freetext"
"It is unique boutique piece.",1,"freetext"
"It is readymade which I have bought & Am not using it now",1,"freetext"
"It is Indian dress",1,"freetext"
"It is from a local shop",1,"freetext"
"it is from a designer store",1,"freetext"
"It is a outfit from a local shop",1,"freetext"
"is ok",1,"freetext"
"IQBAL HUSAIN",1,"freetext"
"Inspired by SORAYA",1,"freetext"
"Inspired by Shilpa Shetty's style",1,"freetext"
"Inspired by Sadaf Fawad Khan Bridals",1,"freetext"
"Inspired by Ritu kumar designs",1,"freetext"
"Inspired by Pitambara by Manisha",1,"freetext"
"Inspired by Maria b",1,"freetext"
"Inspired by haris shakeel",1,"freetext"
"inspired by faraz manaan",1,"freetext"
"Infinity Collections",1,"freetext"
"Indo-western one piece",1,"freetext"
"Indo western",1,"freetext"
"Indie Loom",1,"freetext"
"Indian-Designer",1,"freetext"
"Indian size XL",1,"freetext"
"Indian shop",1,"freetext"
"Indian saree",1,"freetext"
"Indian RMKV",1,"freetext"
"Indian pakistani weeding lehnga",1,"freetext"
"Indian make",1,"freetext"
"Indian lehnga",1,"freetext"
"Indian Kurt ready made",1,"freetext"
"Indian Ethnic Wear",1,"freetext"
"Indian Ethnic Brand",1,"freetext"
"Indian ethnic",1,"freetext"
"Indian dress",1,"freetext"
"Indian designers",1,"freetext"
"Indian designer Saree",1,"freetext"
"Indian Designer - Oracra",1,"freetext"
"Indian designed custom made to measure.",1,"freetext"
"Indian brand",1,"freetext"
"Indian boutique piece",1,"freetext"
"Indian anonymous",1,"freetext"
"Indian and stitched beautifully",1,"freetext"
"Indian and pakisthani design",1,"freetext"
"India boutique",1,"freetext"
"INAYAH",1,"freetext"
"Imroza",1,"freetext"
"ILace",1,"freetext"
"Idahoo",1,"freetext"
"Idaho",1,"freetext"
"I used to sell clothes my own design",1,"freetext"
"I love this lengha got from UK london",1,"freetext"
"I have many pure silk saris",1,"freetext"
"I got it made myself",1,"freetext"
"I got it custom made designed by Pinku",1,"freetext"
"I got customized",1,"freetext"
"I don’t know the designer, because i bought it from a woman who sells indian clothes.",1,"freetext"
"I don't know",1,"freetext"
"I do",1,"freetext"
"I designed it myself",1,"freetext"
"I designed",1,"freetext"
"I customized my lehenga from Chandni Chowk.",1,"freetext"
"I bought this second hand from someone who said she got it from Chandigarh. I’m unsure who the original designer is",1,"freetext"
"i bought it online at amazon",1,"freetext"
"Hussain Rehar design replica",1,"freetext"
"hukum sa",1,"freetext"
"https://www.lashkaraa.com/products/red-embroidered-tissue-anarkali",1,"freetext"
"HSY",1,"freetext"
"House of Zargham",1,"freetext"
"House of Shahana -India",1,"freetext"
"House of Musafir based in Australia",1,"freetext"
"House of Musafir",1,"freetext"
"house of Mohsin",1,"freetext"
"House of Masaba",1,"freetext"
"House of Krishathi",1,"freetext"
"house of kalra",1,"freetext"
"House of Hiya",1,"freetext"
"House Of Ahmed",1,"freetext"
"Hoor Qasim",1,"freetext"
"Honii Sandhu, Jas designer wear",1,"freetext"
"Holi Chic by Megha",1,"freetext"
"hl",1,"freetext"
"hifi boutique",1,"freetext"
"Hi-Fi",1,"freetext"
"HI fi boutique",1,"freetext"
"Hermes",1,"freetext"
"heritage Couture",1,"freetext"
"herione",1,"freetext"
"Hemant Trivedi",1,"freetext"
"Heena Kocchar",1,"freetext"
"Heavenly hues India",1,"freetext"
"Hatke Bride(Canada) website.",1,"freetext"
"Haseen’s official",1,"freetext"
"Haseens Official (Hooriya)",1,"freetext"
"haseen's",1,"freetext"
"Haseen",1,"freetext"
"Harris shakeel inspired",1,"freetext"
"Haris Ahmed",1,"freetext"
"Hardly wore twice",1,"freetext"
"Handstitched from India",1,"freetext"
"Handmade material",1,"freetext"
"Handmade Kutch blouse",1,"freetext"
"handmade in pakistan",1,"freetext"
"Handcrafted Lehenga.",1,"freetext"
"Hand made jewelry from india",1,"freetext"
"Hand made . No designer . Its a sari blouse Vintage",1,"freetext"
"Hand made",1,"freetext"
"Hand knitted",1,"freetext"
"hand embroidery",1,"freetext"
"Hand embroidered potli bag completely new. Color is off white made of fuson silk material with beaded belt.",1,"freetext"
"Han",1,"freetext"
"Hadiqa collection",1,"freetext"
"H.M",1,"freetext"
"H&M",1,"freetext"
"guru bazzar",1,"freetext"
"Guri Designer",1,"freetext"
"guop",1,"freetext"
"Gunghat",1,"freetext"
"GULU Deaigner Boutique",1,"freetext"
"Gulshan Saree",1,"freetext"
"gullu exclusives",1,"freetext"
"gullu",1,"freetext"
"Gulab Rang Suits",1,"freetext"
"gul ahmed ideas",1,"freetext"
"Gul ahmad",1,"freetext"
"Grover designs",1,"freetext"
"Green with contrast plazo",1,"freetext"
"Graceland",1,"freetext"
"Gown, with dupatta",1,"freetext"
"Gown from India",1,"freetext"
"Gown and suit",1,"freetext"
"Gotapatti House Jaipur",1,"freetext"
"Got made myself",1,"freetext"
"got it customized",1,"freetext"
"Gorgeous Banarasi Lehanga with intricate inner folds In pink and gold combination",1,"freetext"
"Gopi Vaid",1,"freetext"
"Golu designers",1,"freetext"
"golu",1,"freetext"
"Golden lace dress",1,"freetext"
"golden coin",1,"freetext"
"Gold lehnga",1,"freetext"
"GM",1,"freetext"
"Global Desi",1,"freetext"
"GlamEgance by Chandni",1,"freetext"
"glam fashion",1,"freetext"
"Glam 5 Boutique",1,"freetext"
"Getanjali",1,"freetext"
"georgette",1,"freetext"
"Generic",1,"freetext"
"Generation pakistani brand",1,"freetext"
"Generation brand",1,"freetext"
"Geeta couture",1,"freetext"
"Garara, gowns, dresses",1,"freetext"
"Ganpati’s",1,"freetext"
"Ganga sarees",1,"freetext"
"Frontier Bazar",1,"freetext"
"Frontier Bazaar",1,"freetext"
"From Zari",1,"freetext"
"From shops",1,"freetext"
"From Paaneri in India.",1,"freetext"
"From Katra Jaimul Singh, Amritsar",1,"freetext"
"From kanchi . Kanjeevaram saris",1,"freetext"
"From Hyderabad lad bazaar",1,"freetext"
"From DLF mall Noida",1,"freetext"
"from delhi",1,"freetext"
"From Cbazaar",1,"freetext"
"From a shop called Raas in Mumbai",1,"freetext"
"From a shop called Nishly in India.",1,"freetext"
"Friendship Store Mumbai India",1,"freetext"
"Friendship",1,"freetext"
"FOXDX",1,"freetext"
"Fish cut designer saree",1,"freetext"
"First copy Alia Bhatt wore the lehangha",1,"freetext"
"First copy",1,"freetext"
"festival",1,"freetext"
"Fervor Jewellery",1,"freetext"
"Femina outlets",1,"freetext"
"fd",1,"freetext"
"Fashion flare 
Customised stitching",1,"freetext"
"Fashion By Rohini",1,"freetext"
"fashion",1,"freetext"
"Farasha pk online",1,"freetext"
"Famous Authentic Kanjeevaram",1,"freetext"
"Falia Karim",1,"freetext"
"Fajr",1,"freetext"
"Faiza Saqli",1,"freetext"
"fabindia",1,"freetext"
"Fab India",1,"freetext"
"Evanscent",1,"freetext"
"Eva&Sangita",1,"freetext"
"Ethniks",1,"freetext"
"Ethnic sapphire Binsaeed’s",1,"freetext"
"Ethnic by Outfitters",1,"freetext"
"Ethnc.pk",1,"freetext"
"Ethnc Pk",1,"freetext"
"Ethinc",1,"freetext"
"Etc",1,"freetext"
"Estee Couture",1,"freetext"
"Esha Koul",1,"freetext"
"Ensemble",1,"freetext"
"Energie Striped Sweater – Size L",1,"freetext"
"Encourage Designers",1,"freetext"
"elite",1,"freetext"
"Eli & kim",1,"freetext"
"Elan inspired",1,"freetext"
"Elaf",1,"freetext"
"Elaan",1,"freetext"
"Eeksha",1,"freetext"
"eeasha kunal couture",1,"freetext"
"Edenrobe",1,"freetext"
"Dua Boutique",1,"freetext"
"Drishti and Zahabia",1,"freetext"
"Dressline",1,"freetext"
"Dotti",1,"freetext"
"Don’t remember name",1,"freetext"
"Dont know . Embroidery may be machine embroidery . Designer unknown 
Vintage sari",1,"freetext"
"Done by different designers",1,"freetext"
"DMV Khatri",1,"freetext"
"Djenabou’s lehenga",1,"freetext"
"Diyas",1,"freetext"
"Diwan Sahib",1,"freetext"
"diva by panache",1,"freetext"
"Diva by Doll",1,"freetext"
"Dipa myself",1,"freetext"
"Dior",1,"freetext"
"Diffeent",1,"freetext"
"Dhanak",1,"freetext"
"Dhaga fashions",1,"freetext"
"dfs",1,"freetext"
"Dewansons Liverpool Sydney",1,"freetext"
"Designer v vani vat",1,"freetext"
"designer Saree",1,"freetext"
"Designer heavy work gown",1,"freetext"
"Designer from Nepal",1,"freetext"
"designer copy dress",1,"freetext"
"Designer based in Shahpur Jat",1,"freetext"
"Designer basanati",1,"freetext"
"Designed sparkly and shimmery anarkali suits",1,"freetext"
"Designed it myself",1,"freetext"
"Designed in india",1,"freetext"
"designed by Tailer",1,"freetext"
"Designed by Payal Prasand Liverpool",1,"freetext"
"Designed by panache",1,"freetext"
"Designed by my mother",1,"freetext"
"designed and tailored in Pakistan",1,"freetext"
"Designaire",1,"freetext"
"Design By Sister.",1,"freetext"
"Design black maxi dress",1,"freetext"
"Desi Dylan",1,"freetext"
"Desi Dolan",1,"freetext"
"Delta soft",1,"freetext"
"Deepika Govind",1,"freetext"
"Deepam collection",1,"freetext"
"Deepak Perwani",1,"freetext"
"dd",1,"freetext"
"dCMumbai",1,"freetext"
"DC - lokhandwala",1,"freetext"
"Dazzles, Bangalore",1,"freetext"
"Dastoor
Size extra large",1,"freetext"
"dancing queen",1,"freetext"
"Customized Suit Set",1,"freetext"
"Customized Lengha",1,"freetext"
"custome",1,"freetext"
"custom stitches",1,"freetext"
"Custom stitched",1,"freetext"
"custom made.",1,"freetext"
"custom made to order",1,"freetext"
"custom made local boutique",1,"freetext"
"Custom made in Pakistan",1,"freetext"
"Custom Made in Karachi",1,"freetext"
"Custom made in Dubai",1,"freetext"
"Custom made in a boutique in india",1,"freetext"
"Custom made by craftsmen in patiala",1,"freetext"
"Custom Designer",1,"freetext"
"Custom designed, inspired by Arpita Mehta and Sunaina Khera designs",1,"freetext"
"Custom designed",1,"freetext"
"Custom Design",1,"freetext"
"Crunchy Fashion",1,"freetext"
"crossstitch",1,"freetext"
"Cross Stitch",1,"freetext"
"Cross Kulture",1,"freetext"
"Crimson by Saira Shakira",1,"freetext"
"creation by my self",1,"freetext"
"crave silk",1,"freetext"
"cotton Ginni",1,"freetext"
"Costume jewelry",1,"freetext"
"costume",1,"freetext"
"costum made",1,"freetext"
"Corraine",1,"freetext"
"copy of sabyasachi",1,"freetext"
"Copy of manish malhotra design",1,"freetext"
"coming",1,"freetext"
"Colour print",1,"freetext"
"Collete",1,"freetext"
"Coach",1,"freetext"
"Classy corner",1,"freetext"
"Classique Cut used Pakistani branded pure lawn breathable fabric for summer.",1,"freetext"
"Chynere",1,"freetext"
"Christian Loubatin",1,"freetext"
"chrisma",1,"freetext"
"Chocker set for women made in India",1,"freetext"
"Chique india",1,"freetext"
"Chinyre",1,"freetext"
"Chinyere brand",1,"freetext"
"Chiffon & Spice by Kinjal",1,"freetext"
"Chennai silks Australia",1,"freetext"
"Chavvi Aggarwal",1,"freetext"
"Charu and Vasundhara",1,"freetext"
"Charu & Vasunadhara",1,"freetext"
"Charmi Creations",1,"freetext"
"Charizma brand",1,"freetext"
"Charisma by Ritu Boorgu",1,"freetext"
"Charisma",1,"freetext"
"Chandra silk",1,"freetext"
"Chandigarh",1,"freetext"
"chandi choek",1,"freetext"
"Chandan Heritage",1,"freetext"
"Chamee and palak",1,"freetext"
"Chamee & Palak",1,"freetext"
"CHAASHNI BY MAANSI AND KETAN",1,"freetext"
"cfmhj",1,"freetext"
"Cedar & Pine",1,"freetext"
"cbazaar",1,"freetext"
"Can’t remember",1,"freetext"
"Can’t recall name",1,"freetext"
"calcutta regalia",1,"freetext"
"C.P.Singh Delhi",1,"freetext"
"by me",1,"freetext"
"By a stor",1,"freetext"
"Buy from shop",1,"freetext"
"Bunaai",1,"freetext"
"Brought from a boutique in Punjab",1,"freetext"
"Brinda",1,"freetext"
"Breakout Pakistan",1,"freetext"
"branded (forgot the name of the brand )",1,"freetext"
"Brand: Zaib By Nimsay",1,"freetext"
"Brand: Status - bought in India",1,"freetext"
"Brand: Farah Talib Aziz",1,"freetext"
"Brand New. Indian Anarkali dresses. Long, Anarkali suit, suitable for all Indian and other gala events. Stitched for India size 40 (US size 8).",1,"freetext"
"Boutique Sydney",1,"freetext"
"Boutique suite",1,"freetext"
"Boutique store",1,"freetext"
"Boutique in Kolkata",1,"freetext"
"Boutique in Bombay.",1,"freetext"
"Boutique from Sydney",1,"freetext"
"Boutique designer",1,"freetext"
"Boutique designed clutch bag",1,"freetext"
"Boutique custom made",1,"freetext"
"Boutique And Hand made , some of them are ready made as well",1,"freetext"
"Bought retail",1,"freetext"
"Bought Ready Made",1,"freetext"
