"value","count","source"
"vasansi",2,"freetext"
"various",2,"freetext"
"Varahiartstudio",2,"freetext"
"Vani Vats",2,"freetext"
"valentino boutique",2,"freetext"
"utsa",2,"freetext"
"Unsure",2,"freetext"
"Umar Sayeed",2,"freetext"
"trendsetter fashion boutique",2,"freetext"
"Toshi Jewels",2,"freetext"
"Thread and Motif",2,"freetext"
"The Saree Room",2,"freetext"
"Taruni",2,"freetext"
"Surya Ethnic Wear",2,"freetext"
"Surbhi Chopra Label",2,"freetext"
"Surabhi Chopra the Label",2,"freetext"
"Surabhi Chopra Label",2,"freetext"
"Sumaira Tariq",2,"freetext"
"Sukh",2,"freetext"
"Srishti",2,"freetext"
"Sokora Jewels",2,"freetext"
"sohaye",2,"freetext"
"So Wears",2,"freetext"
"Shyam Narayan prasad",2,"freetext"
"Shiv Chawla Bespoke",2,"freetext"
"Sheep",2,"freetext"
"sha posh",2,"freetext"
"Sequince",2,"freetext"
"Seasons - Mumbai",2,"freetext"
"Sarosh Salman",2,"freetext"
"Sapphire Pakistan",2,"freetext"
"Samrat Rai",2,"freetext"
"Sabyasachi REPLICA",2,"freetext"
"Sabyasachi inspired",2,"freetext"
"Sabyasaachi",2,"freetext"
"Saachi & Co Bridal",2,"freetext"
"Rupinder kaur",2,"freetext"
"ruchika hurria",2,"freetext"
"Royal Threads ~ by Piyu",2,"freetext"
"ROQA",2,"freetext"
"riwaaz",2,"freetext"
"Rimple and Harpreet",2,"freetext"
"reyya",2,"freetext"
"Republic Womens wear",2,"freetext"
"replica",2,"freetext"
"ready made",2,"freetext"
"Rash",2,"freetext"
"Rani Eman",2,"freetext"
"Punjabi Designer suit",2,"freetext"
"precious by Maria",2,"freetext"
"Payal & Pasand",2,"freetext"
"Paris",2,"freetext"
"Papa don’t preach",2,"freetext"
"Papa Don't Preach",2,"freetext"
"Pakistani dress",2,"freetext"
"Pakistani designers",2,"freetext"
"Own collection",2,"freetext"
"Opus Atelier",2,"freetext"
"opjl",2,"freetext"
"ombré",2,"freetext"
"Ohbyozy",2,"freetext"
"Nureh Pakistan",2,"freetext"
"Nureh",2,"freetext"
"NooréByErum",2,"freetext"
"Noor bridal",2,"freetext"
"Non-designer",2,"freetext"
"no label",2,"freetext"
"no idea",2,"freetext"
"Nisha Merchant",2,"freetext"
"Nilibar Ludhiana",2,"freetext"
"Nepali designer",2,"freetext"
"nepal",2,"freetext"
"Nakkashi",2,"freetext"
"Mysie by Tahira",2,"freetext"
"Mulmul",2,"freetext"
"Monsoon",2,"freetext"
"Monk & Mei",2,"freetext"
"Mohsin naveed ranjha",2,"freetext"
"mohsin",2,"freetext"
"MNR",2,"freetext"
"michael korse",2,"freetext"
"Meraki",2,"freetext"
"Meena Bazar",2,"freetext"
"Me",2,"freetext"
"masaba",2,"freetext"
"Maryum N Maria",2,"freetext"
"Marwa Couture",2,"freetext"
"Mahima Mahajan",2,"freetext"
"Madeeha Shoaib",2,"freetext"
"Ludhiana",2,"freetext"
"Local shop",2,"freetext"
"Libaas india",2,"freetext"
"Lavishing design",2,"freetext"
"Krina’s",2,"freetext"
"khaadi pret",2,"freetext"
"Karpura Silks",2,"freetext"
"Kareena Idnani",2,"freetext"
"Kalighata",2,"freetext"
"Kalatmak Ethnic",2,"freetext"
"Junaid Jamshed (J.)",2,"freetext"
"Jessy Sandhu",2,"freetext"
"jazmine",2,"freetext"
"jade by Ashima",2,"freetext"
"Iznik brand Pakistani",2,"freetext"
"Iznik",2,"freetext"
"Indian wear",2,"freetext"
"Indian bridal stone set",2,"freetext"
